Last login: Thu Feb 20 14:05:08 on console
maclab-85:~ delga017$ ps
  PID TTY           TIME CMD
 6860 ttys000    0:00.01 -bash
maclab-85:~ delga017$ ps x
  PID   TT  STAT      TIME COMMAND
 6626   ??  S      0:00.08 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/R
 6634   ??  S      0:00.15 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
 6635   ??  S      0:00.18 /System/Library/CoreServices/diagnostics_agent
 6636   ??  S      0:00.23 /System/Library/CoreServices/cloudphotosd.app/Contents/MacOS/cloudphotos
 6638   ??  S      0:00.02 /System/Library/PrivateFrameworks/QuickLookThumbnailing.framework/Suppor
 6639   ??  S      0:00.10 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resou
 6648   ??  S      0:00.02 /System/Library/CoreServices/Software Update.app/Contents/Resources/soft
 6649   ??  S      0:00.08 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/
 6650   ??  Ss     0:00.34 /System/Library/Frameworks/MediaLibrary.framework/Versions/A/XPCServices
 6651   ??  S      0:00.07 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions
 6652   ??  S      0:00.06 /usr/libexec/siriknowledged
 6654   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A
 6655   ??  S      0:01.03 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCSe
 6657   ??  S      0:00.20 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistra
 6658   ??  Ss     0:00.07 /System/Library/Frameworks/iTunesLibrary.framework/Versions/A/XPCService
 6659   ??  Ss     0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.
 6665   ??  S      0:00.05 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6666   ??  S      0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6671   ??  S      0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6672   ??  S      0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6676   ??  S      0:00.02 /System/Library/PrivateFrameworks/CloudServices.framework/Versions/A/XPC
 6677   ??  S      0:02.94 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
 6678   ??  S      0:00.37 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIS
 6679   ??  S      0:00.64 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
 6684   ??  S      0:00.02 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
 6689   ??  S      0:00.02 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPu
 6692   ??  SN     0:00.09 /usr/local/jamf/bin/jamfAgent
 6693   ??  S      0:00.03 /usr/libexec/dmd
 6694   ??  S      0:00.05 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklauncha
 6695   ??  S      0:00.17 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
 6696   ??  S      0:00.07 /System/Library/Image Capture/Support/icdd
 6699   ??  S      0:00.09 /Library/Application Support/Pharos/Notify.app/Contents/MacOS/Notify
 6700   ??  S      0:00.06 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUI
 6701   ??  S      0:00.06 /usr/libexec/knowledge-agent
 6702   ??  S      0:00.05 /System/Library/CoreServices/cloudpaird
 6703   ??  S      0:01.24 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud.app/Cont
